entity_id,state,last_changed
sensor.felix_weather_temperatur,19.2,2025-01-25T18:04:53.480Z
sensor.felix_weather_temperatur,19.3,2025-01-25T18:55:16.333Z
sensor.felix_weather_temperatur,19.2,2025-01-25T19:04:09.144Z
sensor.felix_weather_temperatur,19.1,2025-01-25T19:46:50.149Z
sensor.felix_weather_temperatur,19.4,2025-01-25T20:20:18.900Z
sensor.felix_weather_temperatur,19.5,2025-01-25T20:43:14.879Z
sensor.felix_weather_temperatur,19.7,2025-01-25T20:59:09.616Z
sensor.felix_weather_temperatur,19.8,2025-01-25T21:23:05.813Z
sensor.felix_weather_temperatur,19.7,2025-01-25T21:48:12.763Z
sensor.felix_weather_temperatur,19.6,2025-01-25T21:58:35.490Z
sensor.felix_weather_temperatur,19.5,2025-01-25T22:22:51.733Z
sensor.felix_weather_temperatur,19.4,2025-01-25T22:33:44.635Z
sensor.felix_weather_temperatur,19.3,2025-01-25T23:15:32.634Z
sensor.felix_weather_temperatur,19.1,2025-01-25T23:33:07.079Z
sensor.felix_weather_temperatur,19.0,2025-01-25T23:51:02.138Z
sensor.felix_weather_temperatur,18.8,2025-01-26T00:24:00.368Z
sensor.felix_weather_temperatur,18.7,2025-01-26T00:40:45.119Z
sensor.felix_weather_temperatur,18.6,2025-01-26T00:54:28.670Z
sensor.felix_weather_temperatur,18.5,2025-01-26T01:13:53.921Z
sensor.felix_weather_temperatur,18.4,2025-01-26T01:36:20.379Z
sensor.felix_weather_temperatur,18.3,2025-01-26T02:03:57.630Z
sensor.felix_weather_temperatur,18.4,2025-01-26T02:11:09.608Z
sensor.felix_weather_temperatur,18.3,2025-01-26T02:19:31.968Z
sensor.felix_weather_temperatur,18.2,2025-01-26T02:52:00.931Z
sensor.felix_weather_temperatur,18.1,2025-01-26T03:16:57.500Z
sensor.felix_weather_temperatur,18.0,2025-01-26T04:09:21.379Z
sensor.felix_weather_temperatur,17.9,2025-01-26T04:44:40.861Z
sensor.felix_weather_temperatur,18.1,2025-01-26T05:16:49.999Z
sensor.felix_weather_temperatur,18.2,2025-01-26T05:21:01.257Z
sensor.felix_weather_temperatur,18.4,2025-01-26T05:34:35.243Z
sensor.felix_weather_temperatur,18.5,2025-01-26T05:46:08.542Z
sensor.felix_weather_temperatur,18.6,2025-01-26T05:58:01.899Z
sensor.felix_weather_temperatur,18.8,2025-01-26T06:17:28.097Z
sensor.felix_weather_temperatur,18.9,2025-01-26T06:24:50.383Z
sensor.felix_weather_temperatur,18.8,2025-01-26T06:28:11.431Z
sensor.felix_weather_temperatur,18.9,2025-01-26T06:35:03.815Z
sensor.felix_weather_temperatur,19.0,2025-01-26T06:51:18.430Z
sensor.felix_weather_temperatur,18.9,2025-01-26T06:55:29.682Z
sensor.felix_weather_temperatur,19.0,2025-01-26T07:06:43.640Z
sensor.felix_weather_temperatur,18.9,2025-01-26T07:19:37.207Z
sensor.felix_weather_temperatur,19.0,2025-01-26T07:23:38.429Z
sensor.felix_weather_temperatur,19.1,2025-01-26T07:40:43.262Z
sensor.felix_weather_temperatur,19.2,2025-01-26T08:11:12.501Z
sensor.felix_weather_temperatur,19.5,2025-01-26T08:42:50.807Z
sensor.felix_weather_temperatur,19.6,2025-01-26T09:06:17.629Z
sensor.felix_weather_temperatur,19.7,2025-01-26T09:12:09.279Z
sensor.felix_weather_temperatur,19.8,2025-01-26T09:21:21.730Z
sensor.felix_weather_temperatur,19.9,2025-01-26T09:39:17.149Z
sensor.felix_weather_temperatur,20.0,2025-01-26T09:54:01.068Z
sensor.felix_weather_temperatur,19.9,2025-01-26T10:11:25.450Z
sensor.felix_weather_temperatur,19.7,2025-01-26T10:24:18.758Z
sensor.felix_weather_temperatur,19.6,2025-01-26T10:27:59.873Z
sensor.felix_weather_temperatur,19.5,2025-01-26T10:53:57.046Z
sensor.felix_weather_temperatur,19.4,2025-01-26T11:26:15.000Z
sensor.felix_weather_temperatur,19.3,2025-01-26T11:38:08.579Z
sensor.felix_weather_temperatur,19.8,2025-01-26T12:55:08.280Z
